census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,total_population,white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_or_latino_pct,foreign_born_pct,under_18_pct,source_id
1600000US2718728,place,27,18728,"Elkton city, Minnesota",2024,94,98.936,1.064,0.0,3.191,0.0,14.894,acs5_2024_place_demographics
1600000US2718746,place,27,18746,"Ellendale city, Minnesota",2024,754,87.798,0.133,0.0,10.61,0.265,25.332,acs5_2024_place_demographics
1600000US2718836,place,27,18836,"Ellsworth city, Minnesota",2024,428,91.589,0.467,0.0,5.374,1.168,22.196,acs5_2024_place_demographics
1600000US2718872,place,27,18872,"Elmdale city, Minnesota",2024,172,98.837,0.0,0.581,0.0,0.581,13.372,acs5_2024_place_demographics
1600000US2718998,place,27,18998,"Elmore city, Minnesota",2024,451,88.914,1.33,0.222,11.53,2.217,21.951,acs5_2024_place_demographics
1600000US2719088,place,27,19088,"Elrosa city, Minnesota",2024,217,99.539,0.0,0.0,6.912,0.0,16.59,acs5_2024_place_demographics
1600000US2719142,place,27,19142,"Ely city, Minnesota",2024,3240,92.932,2.037,0.0,1.605,1.914,7.932,acs5_2024_place_demographics
1600000US2719160,place,27,19160,"Elysian city, Minnesota",2024,676,97.781,1.183,0.0,0.296,0.296,21.598,acs5_2024_place_demographics
1600000US2719286,place,27,19286,"Emily city, Minnesota",2024,693,97.547,0.0,0.0,0.144,1.01,16.739,acs5_2024_place_demographics
1600000US2719340,place,27,19340,"Emmons city, Minnesota",2024,363,79.89,0.0,0.0,13.499,1.377,19.835,acs5_2024_place_demographics
1600000US2719358,place,27,19358,"Empire city, Minnesota",2024,3092,93.435,0.194,0.614,2.49,1.455,28.558,acs5_2024_place_demographics
1600000US2719556,place,27,19556,"Erhard city, Minnesota",2024,154,98.052,0.0,0.0,26.623,7.143,26.623,acs5_2024_place_demographics
1600000US2719700,place,27,19700,"Erskine city, Minnesota",2024,427,91.803,0.0,4.215,2.81,7.026,21.077,acs5_2024_place_demographics
1600000US2719718,place,27,19718,"Esko CDP, Minnesota",2024,1813,96.029,1.489,0.0,0.0,0.993,21.842,acs5_2024_place_demographics
1600000US2719754,place,27,19754,"Essig CDP, Minnesota",2024,76,100.0,0.0,0.0,0.0,0.0,40.789,acs5_2024_place_demographics
1600000US2719880,place,27,19880,"Evan city, Minnesota",2024,89,95.506,0.0,0.0,4.494,2.247,20.225,acs5_2024_place_demographics
1600000US2719898,place,27,19898,"Evansville city, Minnesota",2024,550,96.545,0.0,0.0,0.0,0.545,26.545,acs5_2024_place_demographics
