District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
920,Weakley County,Economically Disadvantaged,81,98,16.4,16.7,17.2,18.4,17.4,14,17.3,51,63
920,Weakley County,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
920,Weakley County,Students with Disabilities,24,92,11.8,13.8,13.3,15,13.5,<1%,<1%,>99%,>99%
930,White County,All Students,258,100,18.2,19.3,19.1,19,19,101,39.1,125,48.4
930,White County,Black/Hispanic/Native American,32,100,14.3,16.5,16.1,16.8,15.9,3,9.4,23,71.9
930,White County,Economically Disadvantaged,79,100,16.1,17.5,16.9,17.3,17.1,21,26.6,50,63.3
930,White County,English Learners,5,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
930,White County,Students with Disabilities,30,100,11.3,14.4,12.3,14.6,13.3,<1%,<1%,Suppressed,Suppressed
940,Williamson County,All Students,3446,100,25.3,24.9,25.6,24.7,25.3,2722,79,453,13.1
940,Williamson County,Black/Hispanic/Native American,529,100,21.2,21.2,22.2,21.5,21.7,294,55.6,174,32.9
940,Williamson County,Economically Disadvantaged,150,99,19.3,19.9,20,20.6,20.1,66,44,68,45.3
940,Williamson County,English Learners,97,100,18.4,20.8,19.1,20.2,19.8,36,37.1,48,49.5
940,Williamson County,Students with Disabilities,244,100,18.7,19.4,20.2,20.1,19.8,97,39.8,124,50.8
950,Wilson County,All Students,1812,100,20,19.6,20.8,20.3,20.4,825,45.5,719,39.7
950,Wilson County,Black/Hispanic/Native American,469,100,17,17.3,18.2,18.1,17.8,113,24.1,288,61.4
950,Wilson County,Economically Disadvantaged,317,100,16.9,17.3,18,17.9,17.7,74,23.3,202,63.7
950,Wilson County,English Learners,129,100,14.2,16.3,14.8,16.6,15.6,14,10.9,107,82.9
